id, Latitude, Longitude, Listed, 
725, -6.27601, 53.3450699, 2, 
726, 0, 0, 2, 
727, -6.2539072, 53.3507919, 2, 
729, -6.27960777, 53.3242607, 2, 
731, -6.27235889, 53.3412399, 2, 
732, -6.27521086, 53.3317375, 2, 
738, -6.40595913, 53.3203163, 2, 
739, -6.24612808, 53.3479347, 2, 
740, -6.17683887, 53.426487, 2, 
741, -6.33415, 53.3069382, 2, 
742, -6.14250422, 53.2520142, 2, 
744, -6.26131487, 53.3587189, 2, 
747, -6.274014, 53.3607903, 2, 
749, -6.2586031, 53.3394279, 2, 
753, -6.27721119, 53.4180908, 2, 
758, -6.36605215, 53.3850098, 2, 
761, -6.25268, 53.3379173, 2, 
763, 0, 0, 2, 
766, -6.26525879, 53.3344345, 2, 
767, -6.13499498, 53.2948532, 2, 
768, -6.22613811, 53.3687897, 2, 
769, -6.29449606, 53.3161278, 2, 
770, -6.27421522, 53.386322, 2, 
778, -6.22079515, 53.3114662, 2, 
779, -6.24391079, 53.2890625, 2, 
783, -6.27186108, 53.3642578, 2, 
785, -6.25679302, 53.3488617, 2, 
787, -6.22210121, 53.3725204, 2, 
789, -6.2589, 53.3472404, 2, 
790, -6.29903316, 53.3408165, 2, 
791, -6.24005795, 53.3596268, 2, 
792, -6.06384087, 53.0710716, 2, 
797, -6.21455, 53.3856583, 2, 
798, -6.36982107, 53.3172607, 2, 
801, -6.22413, 53.3972, 2, 
806, -6.33368206, 53.3164597, 2, 
810, -6.318542, 53.3832855, 2, 
811, -6.33320093, 53.3044319, 2, 
813, -6.40039, 53.4075394, 2, 
816, -6.22827482, 53.3642044, 2, 
820, -6.13016701, 53.1826668, 2, 
823, -6.28351498, 53.3062973, 2, 
824, -6.2191062, 53.4597244, 2, 
826, -6.30605888, 53.3724632, 2, 
828, -6.29222, 53.3328819, 2, 
830, -6.12365484, 53.223362, 2, 
844, -6.27897882, 53.325222, 2, 
845, -6.39826822, 53.3720741, 2, 
846, -6.25466, 53.3489532, 2, 
847, -6.24045181, 53.3246574, 2, 
851, -6.25574112, 53.3490257, 2, 
852, -6.37551594, 53.3861, 2, 
854, -6.26215601, 53.3462372, 2, 
855, -6.28344, 53.3726921, 2, 
856, -6.23720884, 53.3621178, 2, 
857, -6.39761686, 53.3274498, 2, 
861, -6.30688477, 53.4190369, 2, 
864, -6.33234119, 53.3220215, 2, 
865, -6.27473, 53.3484688, 2, 
866, -6.19559908, 53.3457413, 2, 
870, -6.21305, 53.3253, 2, 
878, -6.23028088, 53.3083153, 2, 
879, -6.2121439, 53.3243523, 2, 
880, -6.3680191, 53.2901306, 2, 
885, -6.33113384, 53.2765427, 2, 
887, -6.22938395, 53.4249535, 2, 
892, -6.20750284, 53.2884712, 2, 
893, -6.22946405, 53.3856697, 2, 
896, -6.36271715, 53.3429832, 2, 
900, -6.26444292, 53.3428574, 2, 
902, -6.37892818, 53.3876305, 2, 
904, -6.25715923, 53.3906593, 2, 
908, 0, 0, 2, 
910, -6.28050804, 53.3430328, 2, 
913, -6.24165916, 53.4021873, 2, 
916, -6.2533021, 53.3714752, 2, 
917, -6.3069458, 53.3644829, 2, 
918, -6.2066741, 53.37117, 2, 
920, -6.26599407, 53.339035, 2, 
921, -6.37707376, 53.3769875, 2, 
924, -6.33396578, 53.3128967, 2, 
927, -6.12611103, 53.1901398, 2, 
929, -6.27893782, 53.3428078, 2, 
932, -6.24907684, 53.3296738, 2, 
933, -6.31154394, 53.3903618, 2, 
937, -6.27062511, 53.3079033, 2, 
938, -6.261, 53.3519402, 2, 
945, -6.396, 53.3527145, 2, 
946, -6.36353207, 53.3747253, 2, 
948, -6.24632502, 53.2927704, 2, 
949, -6.25336695, 53.3449669, 2, 
951, -6.20320177, 53.4016457, 2, 
955, -6.26083708, 53.3509445, 2, 
957, -6.25617409, 53.3481178, 2, 
959, -6.26454, 53.3424339, 2, 
